0.03723 0.05210 0.79078 0.94654
0.01996 0.24239 0.80805 0.75625
0.02559 0.95942 0.79776 -0.74554
0.02559 0.95942 0.76498 -0.77207
0.41733 0.06538 0.41069 0.93326
0.02559 0.95942 0.39174 -0.89403
0.03723 0.05210 0.61214 0.68093
0.02559 0.95942 0.01164 -0.90731
0.79057 0.18735 0.03744 0.81130
0.01996 0.24239 0.80339 -0.02852
0.02559 0.95942 0.80242 0.03923
0.03723 0.05210 0.78612 0.16177
0.01996 0.24239 0.62941 0.49063
0.03723 0.05210 0.47253 0.63119
0.82335 0.21387 0.00466 0.78477
0.79057 0.18735 -0.77061 0.05505
0.03723 0.05210 0.75334 0.13525
0.02559 0.95942 -0.00563 -0.71702
0.64938 0.73303 -0.23205 -0.66765
0.02559 0.95942 0.62378 -0.22639
0.01996 0.24239 0.48980 0.44090
0.48186 0.51799 -0.44463 -0.46588
0.48186 0.51799 -0.45627 0.44143
0.50976 0.68329 -0.09243 -0.61791
0.48186 0.51799 0.34615 0.48066
0.79057 0.18735 -0.28081 0.49595
0.50976 0.68329 0.31359 -0.46942
0.79057 0.18735 -0.14120 0.54568
0.02559 0.95942 0.48417 -0.27612
0.64938 0.73303 0.17398 -0.51915
0.48186 0.51799 -0.46190 -0.27559
0.48186 0.51799 0.34149 -0.30411
0.48186 0.51799 -0.06453 -0.45260
0.48186 0.51799 0.30871 -0.33064
0.50976 0.68329 0.31825 0.31535
0.01996 0.24239 0.39737 -0.17701
0.41733 0.06538 0.40602 0.14849
0.79057 0.18735 -0.37324 -0.12197
0.03723 0.05210 0.38010 0.01328
0.64938 0.73303 0.17864 0.26562
0.48186 0.51799 0.16751 0.21504
0.03723 0.05210 -0.01727 0.19029
0.48186 0.51799 0.02790 0.16531
0.64938 0.73303 -0.13961 -0.04973
0.79057 0.18735 0.03278 0.02653
